解读GPS
日期,时间,纬度,经度,海拔,地面速率,地面航向,卫星数
17年05月10日,01时32分38秒,40度47.5分,111度41.856分,1108m,012.2公里／小时,253.6度,05颗
17年05月10日,01时32分39秒,40度47.5分,111度41.852分,1106m,011.3公里／小时,254.3度,05颗
17年05月10日,01时32分39秒,40度47.5分,111度41.852分,1106m,011.3公里／小时,254.3度,05颗
17年05月10日,01时32分41秒,40度47.5分,111度41.837分,1181m,012.3公里／小时,252.0度,06颗
17年05月10日,01时32分42秒,40度47.5分,111度41.830分,1199m,012.2公里／小时,255.4度,06颗
17年05月10日,01时32分43秒,40度47.5分,111度41.826分,1195m,014.2公里／小时,257.0度,06颗
17年05月10日,01时32分44秒,40度47.5分,111度41.821分,1194m,014.5公里／小时,258.9度,06颗
17年05月10日,01时32分45秒,40度47.5分,111度41.815分,1192m,014.7公里／小时,260.2度,06颗
17年05月10日,01时32分46秒,40度47.5分,111度41.810分,1194m,014.6公里／小时,259.4度,06颗
17年05月10日,01时32分47秒,40度47.5分,111度41.806分,1195m,013.9公里／小时,252.7度,06颗
17年05月10日,01时32分48秒,40度47.5分,111度41.800分,1196m,014.7公里／小时,257.7度,06颗
17年05月10日,01时32分49秒,40度47.5分,111度41.796分,1184m,014.9公里／小时,259.9度,07颗
17年05月10日,01时32分50秒,40度47.5分,111度41.791分,1174m,014.5公里／小时,258.7度,07颗
17年05月10日,01时32分51秒,40度47.5分,111度41.787分,1167m,012.9公里／小时,254.0度,07颗
17年05月10日,01时32分52秒,40度47.5分,111度41.783分,1162m,011.1公里／小时,254.8度,08颗
17年05月10日,01时32分53秒,40度47.5分,111度41.779分,1159m,010.7公里／小时,259.7度,08颗
17年05月10日,01时32分54秒,40度47.5分,111度41.776分,1151m,009.6公里／小时,273.7度,08颗
17年05月10日,01时32分55秒,40度47.5分,111度41.771分,1147m,009.3公里／小时,298.6度,08颗
17年05月10日,01时32分56秒,40度47.5分,111度41.769分,1147m,011.0公里／小时,327.2度,08颗
17年05月10日,01时32分57秒,40度47.5分,111度41.767分,1147m,013.1公里／小时,338.5度,08颗
17年05月10日,01时32分58秒,40度47.5分,111度41.766分,1146m,016.3公里／小时,341.1度,08颗
17年05月10日,01时32分59秒,40度47.5分,111度41.764分,1145m,018.5公里／小时,340.4度,08颗
17年05月10日,01时33分00秒,40度47.5分,111度41.762分,1144m,020.1公里／小时,339.9度,08颗
17年05月10日,01时33分01秒,40度47.5分,111度41.759分,1144m,022.2公里／小时,339.6度,08颗
17年05月10日,01时33分02秒,40度47.5分,111度41.757分,1143m,022.7公里／小时,339.2度,08颗
17年05月10日,01时33分03秒,40度47.5分,111度41.754分,1142m,023.3公里／小时,338.7度,08颗
17年05月10日,01时33分04秒,40度47.5分,111度41.751分,1142m,022.5公里／小时,339.4度,08颗
17年05月10日,01时33分05秒,40度47.5分,111度41.748分,1142m,022.2公里／小时,339.1度,08颗
17年05月10日,01时33分06秒,40度47.6分,111度41.746分,1142m,021.9公里／小时,339.9度,08颗
17年05月10日,01时33分07秒,40度47.6分,111度41.743分,1142m,021.4公里／小时,340.3度,08颗
17年05月10日,01时33分08秒,40度47.6分,111度41.741分,1141m,020.6公里／小时,341.2度,08颗
17年05月10日,01时33分09秒,40度47.6分,111度41.738分,1142m,018.8公里／小时,342.0度,08颗
17年05月10日,01时33分10秒,40度47.6分,111度41.737分,1141m,016.5公里／小时,342.1度,08颗
17年05月10日,01时33分11秒,40度47.6分,111度41.735分,1140m,014.8公里／小时,342.6度,09颗
17年05月10日,01时33分12秒,40度47.6分,111度41.734分,1140m,013.2公里／小时,342.9度,09颗
17年05月10日,01时33分13秒,40度47.6分,111度41.733分,1139m,011.6公里／小时,343.2度,09颗
17年05月10日,01时33分14秒,40度47.6分,111度41.732分,1139m,009.7公里／小时,343.4度,09颗
17年05月10日,01时33分15秒,40度47.6分,111度41.731分,1139m,008.0公里／小时,343.5度,10颗
17年05月10日,01时33分16秒,40度47.6分,111度41.730分,1140m,007.1公里／小时,343.4度,08颗
17年05月10日,01时33分17秒,40度47.6分,111度41.730分,1139m,007.0公里／小时,343.3度,08颗
17年05月10日,01时33分18秒,40度47.6分,111度41.729分,1139m,006.7公里／小时,343.0度,08颗
17年05月10日,01时33分19秒,40度47.6分,111度41.728分,1138m,005.6公里／小时,343.0度,08颗
17年05月10日,01时33分20秒,40度47.6分,111度41.728分,1137m,003.9公里／小时,338.0度,08颗
17年05月10日,01时33分21秒,40度47.6分,111度41.727分,1137m,002.4公里／小时,338.0度,08颗
17年05月10日,01时33分22秒,40度47.6分,111度41.727分,1136m,001.4公里／小时,338.0度,08颗
